Sample name;x;y;z;r;rNumbers
pool2;-0.518277;-0.592735;12.8767;1;12
pool2;-0.509792;-0.491419;12.3818;1;12
pool2;-0.538551;-0.693717;13.3915;1;12
pool2;-0.465367;-0.760283;13.8719;1;12
pool2;-0.518359;-0.681705;14.3582;1;12
spines2;0.89895;-0.283965;13.1167;0.1;6
spines2;0.927343;0.390538;13.7567;0.1;6
spines2;0.898485;-0.0398086;14.727;0.1;6
spines2;0.538773;0.954433;13.8928;0.1;6
spines2;-0.163654;1.03249;14.4809;0.1;6
spines2;-0.779514;0.879983;14.2846;0.1;6
spines2;-1.20609;0.450384;13.8301;0.1;6
spines2;-1.17016;0.492713;13.0232;0.1;6
spines2;-1.30459;-0.198148;13.8419;0.1;6
spines2;-1.26128;-0.139901;13.1673;0.1;6
spines2;-0.921521;-0.857241;14.227;0.1;6
spines2;-0.475379;-1.118;14.2983;0.1;6
spines2;-0.315811;-1.09092;13.3852;0.1;6
spines2;0.412504;-0.94244;13.3137;0.1;6
pool3;0.280826;-0.267144;10.7296;1;2
pool3;0.286137;-0.267799;11.4772;1;2
pool3;0.581001;0.119893;10.7337;1;2
pool3;0.242417;-0.234248;10.4435;1;2
pool3;0.54342;0.10532;10.4514;1;2
pool3;0.557424;0.167639;11.2085;1;2
pool3;0.515796;0.190622;11.7501;1;2
pool3;0.311961;-0.252664;11.1531;1;2
pool3;0.290145;-0.232229;11.7673;1;2
pool3;0.563558;0.540602;10.5468;1;2
pool3;0.507338;0.642645;11.191;1;2
pool3;0.414603;0.613054;11.7873;1;2
pool3;0.271644;0.961177;10.613;1;2
pool3;0.188627;1.00184;11.0991;1;2
pool3;0.0471822;0.953192;11.8015;1;2
pool3;-0.212552;1.09834;10.5707;1;2
pool3;-0.35244;1.07839;11.1496;1;2
pool3;-0.4715;0.951046;11.7684;1;2
pool3;-0.667567;0.850714;10.4451;1;2
pool3;-0.812316;0.752859;11.1752;1;2
pool3;-0.823082;0.587601;11.7944;1;2
pool3;-0.896771;0.123585;11.6522;1;2
pool3;-0.93604;0.221237;11.1847;1;2
pool3;-0.894719;0.282273;10.6117;1;2
pool3;-0.640362;-0.285319;11.411;1;2
pool3;-0.576746;-0.384076;11.9642;1;2
pool3;-0.666664;-0.183623;10.7255;1;2
pool3;-0.119815;-0.453102;11.8346;1;2
pool3;-0.180072;-0.438533;11.4415;1;2
pool3;-0.186235;-0.414022;10.9676;1;2
pool3;-0.229726;-0.345963;10.4678;1;2
spines3;-1.22191;0.621682;11.0558;0.1;13
spines3;-1.1636;-0.301855;11.6672;0.1;13
spines3;-0.548459;-0.782754;11.3749;0.1;13
spines3;0.259349;-0.745579;11.8693;0.1;13
spines3;0.761449;-0.261641;11.2464;0.1;13
spines3;0.900992;0.435558;11.8459;0.1;13
spines3;0.619208;1.11706;11.4809;0.1;13
spines3;-0.0854914;1.44542;11.5671;0.1;13
spines3;-0.866516;1.2377;11.4653;0.1;13
pool4;-0.746088;0.412898;9.9561;1;4
pool4;-0.753502;0.436675;9.2114;1;4
pool4;-0.815791;0.427046;8.48647;1;4
pool4;-0.925528;0.453769;7.78421;1;4
pool4;-0.545406;0.843451;9.94576;1;4
pool4;-0.572623;0.860181;9.15027;1;4
pool4;-0.663175;0.850819;8.43787;1;4
pool4;-0.710061;0.877608;7.75565;1;4
pool4;-0.109543;1.03133;10.0163;1;4
pool4;-0.100839;1.05824;9.24684;1;4
pool4;-0.185595;1.11235;8.61877;1;4
pool4;-0.254912;1.10783;7.76888;1;4
pool4;0.324103;0.872341;10.0423;1;4
pool4;0.288214;0.941126;9.24907;1;4
pool4;0.26308;1.00718;8.63856;1;4
pool4;0.275542;1.02274;7.98411;1;4
pool4;0.560977;0.4967;9.98801;1;4
pool4;0.591961;0.564327;9.2945;1;4
pool4;0.589804;0.621242;8.64142;1;4
pool4;0.586662;0.593631;8.01381;1;4
pool4;0.502022;0.112141;9.92246;1;4
pool4;0.551575;0.0990735;9.29593;1;4
pool4;0.567105;0.107042;8.77336;1;4
pool4;0.551532;0.0874528;8.08898;1;4
pool4;0.227574;-0.187922;9.96088;1;4
pool4;0.259238;-0.206141;9.28493;1;4
pool4;0.243224;-0.223015;8.8697;1;4
pool4;0.245967;-0.269765;8.20074;1;4
pool4;-0.205925;-0.259141;9.97441;1;4
pool4;-0.220436;-0.250901;9.34836;1;4
pool4;-0.24945;-0.29856;8.7509;1;4
pool4;-0.297999;-0.35383;8.23934;1;4
pool4;-0.591877;-0.0380187;9.96284;1;4
pool4;-0.60476;0.000319347;9.3285;1;4
pool4;-0.658072;-0.028511;8.73747;1;4
pool4;-0.735853;-0.106952;8.17015;1;4
spines4;-0.982921;0.156877;8.65116;0.1;9
spines4;-0.577161;-0.392798;9.11518;0.1;9
spines4;0.042231;-0.537594;8.73008;0.1;9
spines4;0.579422;-0.261885;9.44588;0.1;9
spines4;0.870038;0.345942;8.49509;0.1;9
spines4;0.667169;0.965367;8.37537;0.1;9
spines4;0.167224;1.29215;8.96756;0.1;9
spines4;-0.535871;1.24707;8.78416;0.1;9
spines4;-0.998327;0.712301;8.22416;0.1;9
pool5;-0.324916;1.11666;7.35775;1;11
pool5;-0.339959;1.07495;6.87297;1;11
pool5;-0.288663;0.994383;6.27067;1;11
pool5;-0.308092;0.828476;5.74827;1;11
pool5;0.209778;0.968565;7.48446;1;11
pool5;0.293528;0.880467;7.00957;1;11
pool5;0.320657;0.825047;6.54757;1;11
pool5;0.317946;0.659701;6.0085;1;11
pool5;0.525151;0.578767;7.51037;1;11
pool5;0.564661;0.312812;7.01451;1;11
pool5;0.562952;0.225829;6.60436;1;11
pool5;0.418817;0.0509453;6.01132;1;11
pool5;0.25005;-0.227827;7.73064;1;11
pool5;0.256052;-0.264884;7.15409;1;11
pool5;0.206825;-0.333919;6.65083;1;11
pool5;0.107707;-0.340471;6.11342;1;11
pool5;-0.387922;-0.3669;7.75279;1;11
pool5;-0.308919;-0.392209;7.31151;1;11
pool5;-0.451882;-0.420428;6.82558;1;11
pool5;-0.468997;-0.410068;6.31885;1;11
pool5;-0.873224;0.682329;6.88035;1;11
pool5;-0.830582;0.687391;6.47307;1;11
pool5;-0.73653;0.571774;5.79838;1;11
pool5;-0.748202;-0.118659;7.71842;1;11
pool5;-0.843164;-0.0528867;7.15486;1;11
pool5;-0.925991;0.0338248;6.69507;1;11
pool5;-0.860185;0.0393144;6.10008;1;11
spines5;0.104974;1.36842;7.15708;0.1;8
spines5;0.594209;0.973363;7.43099;0.1;8
spines5;0.693423;-0.156098;6.90818;0.1;8
spines5;-0.0454294;-0.679524;6.92712;0.1;8
spines5;-0.870182;-0.443314;6.5706;0.1;8
spines5;-0.779396;-0.491834;7.18086;0.1;8
spines5;-1.14627;0.394995;6.38411;0.1;8
spines5;-1.14121;0.824639;7.24317;0.1;8
spines5;-0.755531;1.16018;6.79805;0.1;8
pool6;-0.860083;0.113125;5.24044;0.7;10
pool6;-0.880887;0.153485;4.72831;0.7;10
pool6;-0.588263;-0.308183;5.30924;0.7;10
pool6;-0.721106;-0.235977;4.63597;0.7;10
pool6;-0.300422;-0.385062;4.6845;0.7;10
pool6;-0.151325;-0.379581;5.16721;0.7;10
pool6;0.169662;-0.0336448;4.61252;0.7;10
pool6;0.241837;0.0241106;5.09397;0.7;10
pool6;0.15129;0.558659;5.28098;0.7;10
pool6;0.139018;0.426054;4.60141;0.7;10
pool6;-0.274691;0.763498;5.13527;0.7;10
pool6;-0.254621;0.694152;4.63499;0.7;10
pool6;-0.724676;0.55542;5.19009;0.7;10
pool6;-0.718081;0.54611;4.60282;0.7;10
innerroot;-0.435734;2.5433;1.45473;0.6;3
innerroot;-1.00182;2.50848;1.2914;0.6;3
innerroot;-1.27437;3.02336;1.24116;0.6;3
innerroot;-1.31878;3.60801;1.33832;0.6;3
innerroot;-1.21574;4.2412;1.20519;0.6;3
innerroot;-1.8366;1.9271;0.939876;0.6;3
innerroot;-2.26585;1.28176;1.02434;0.6;3
innerroot;-2.69369;1.45136;1.02926;0.6;3
innerroot;-2.60966;0.361913;1.06234;0.6;3
innerroot;-3.04044;0.281519;1.03201;0.6;3
innerroot;-2.1263;-0.892557;0.97177;0.6;3
innerroot;-2.92469;-0.467475;0.999979;0.6;3
innerroot;-1.41048;-1.69317;1.07767;0.6;3
innerroot;-1.78081;-2.20196;1.23586;0.6;3
innerroot;-2.26304;-2.62616;1.16731;0.6;3
innerroot;0.239879;-1.86513;0.954662;0.6;3
innerroot;0.723284;-2.32391;1.11208;0.6;3
innerroot;0.844038;-1.65597;1.13333;0.6;3
innerroot;1.12396;-2.32032;1.16336;0.6;3
innerroot;0.898257;-3.14156;1.15178;0.6;3
innerroot;0.445719;-3.73083;1.19186;0.6;3
outerroot;-0.967849;4.61268;1.14099;0.6;7
outerroot;-0.743733;4.57679;1.19079;0.6;7
outerroot;-0.476371;5.05335;1.27715;0.6;7
outerroot;-0.431606;5.58333;1.16286;0.6;7
outerroot;-0.730909;6.2617;1.20897;0.6;7
outerroot;-2.38007;2.26222;1.08349;0.6;7
outerroot;-3.29638;1.10672;1.18171;0.6;7
outerroot;-3.75971;1.17877;1.0884;0.6;7
outerroot;-4.0926;0.314447;1.14162;0.6;7
outerroot;-3.55096;-0.369515;1.14702;0.6;7
outerroot;-2.8185;-2.90747;1.02677;0.6;7
outerroot;-3.54203;-2.78423;1.07253;0.6;7
outerroot;-0.0311421;-4.24125;1.15314;0.6;7
outerroot;-0.557484;-4.68409;1.13673;0.6;7
outerroot;-1.31605;-5.24818;1.09235;0.6;7
outerroot;-1.85161;-5.553;1.01662;0.6;7
outerroot;-2.41784;-5.76726;0.903605;0.6;7
outerroot;-2.88377;-6.30637;0.562474;0.6;7
outerroot;-3.48593;-6.58516;0.23734;0.6;7
outerroot;1.22769;-3.08024;1.09232;0.6;7
outerroot;1.60187;-3.70675;1.12546;0.6;7
outerroot;1.84796;-4.21151;1.11051;0.6;7
