Sample name;x;y;z;r;rNumbers
leaves3;0.929863;1.53246;11.852;0.8;5
leaves3;0.862464;1.65999;11.6474;0.8;5
leaves3;0.600472;1.71922;11.3634;0.8;5
leaves3;0.563671;1.44599;11.5767;0.8;5
leaves3;0.537508;1.13579;11.8814;0.8;5
leaves3;0.314818;1.0523;11.7393;0.8;5
leaves3;0.20739;1.23859;11.4525;0.8;5
leaves3;0.237098;1.46663;11.2539;0.8;5
leaves3;0.00422129;1.36743;11.1561;0.8;5
leaves3;-0.0520987;1.19466;11.3024;0.8;5
leaves3;-0.039347;0.915663;11.5695;0.8;5
leaves3;-0.355353;0.878685;11.4337;0.8;5
leaves3;-0.357583;1.05603;11.2493;0.8;5
leaves3;-0.368763;1.15039;11.128;0.8;5
leaves3;-0.711833;0.85151;11.2483;0.8;5
leaves3;-0.786144;0.948102;11.017;0.8;5
leaves3;-1.01655;0.911072;11.0902;0.8;5
leaves3;-1.03973;0.570426;11.3723;0.8;5
leaves3;-1.01175;0.138527;11.683;0.8;5
leaves3;-0.742908;-0.108699;11.8066;0.8;5
leaves3;-1.01083;-0.300014;11.8112;0.8;5
leaves3;-1.91692;0.5571;10.6851;0.8;5
leaves3;-2.00873;0.158026;10.7488;0.8;5
leaves3;-2.22215;0.445561;10.7637;0.8;5
leaves3;-2.15058;-0.198635;10.8268;0.8;5
leaves3;-2.35915;-0.102577;10.7769;0.8;5
leaves3;-2.63134;0.287294;10.7037;0.8;5
leaves3;-2.32283;-0.474543;10.9792;0.8;5
leaves3;-2.6118;-0.179678;10.8334;0.8;5
leaves3;-2.85826;0.0692309;10.7703;0.8;5
leaves3;-2.51709;-0.645023;11.1388;0.8;5
leaves3;-2.67187;-0.525131;11.0674;0.8;5
leaves3;-2.92399;-0.333054;10.966;0.8;5
leaves3;-3.14549;-0.0154001;10.8644;0.8;5
leaves3;-3.30745;-0.120942;10.9653;0.8;5
leaves3;-3.03228;-0.492264;11.0913;0.8;5
leaves3;-2.79385;-0.642168;11.1593;0.8;5
leaves3;-3.14459;-0.701505;11.2483;0.8;5
leaves3;-3.35202;-0.466685;11.175;0.8;5
leaves3;-3.3344;-0.67607;11.2764;0.8;5
stems1;-2.13228;1.75046;16.6426;0.8;3
stems1;-2.35804;1.82798;16.4749;0.8;3
stems1;-2.24464;1.73062;16.3224;0.8;3
stems1;-2.47646;1.81506;16.1548;0.8;3
stems1;-2.18274;1.71275;16.1049;0.8;3
stems1;-2.27196;1.79781;16.0453;0.8;3
stems1;-2.07273;1.55847;16.0233;0.8;3
stems1;-2.19446;1.68279;15.7774;0.8;3
stems1;-2.1741;1.71693;15.9384;0.8;3
stems1;-2.34004;1.71953;15.8677;0.8;3
stems1;-2.00599;1.61008;15.7291;0.8;3
stems1;-2.18959;1.64025;15.6311;0.8;3
stems1;-2.36216;1.59373;15.6073;0.8;3
thorns1;-1.54829;1.65767;14.916;0.8;9
thorns1;-1.62243;1.64238;14.9424;0.8;9
thorns1;-1.80439;1.59374;14.9396;0.8;9
thorns1;-1.96685;1.78626;15.3013;0.8;9
thorns1;-2.06468;1.76343;15.2811;0.8;9
thorns1;-2.41349;1.13189;15.3288;0.8;9
thorns1;-2.42116;1.08261;15.3194;0.8;9
thorns1;-2.45307;0.9951;15.2982;0.8;9
thorns2;-1.47212;1.19051;13.9404;0.8;17
thorns2;-1.63675;1.26595;13.8558;0.8;17
thorns2;-1.51121;0.564705;13.0131;0.8;17
thorns2;-1.61339;0.730942;12.9287;0.8;17
thorns3;-1.62804;0.850804;9.92044;0.8;6
thorns3;-1.78279;0.782883;9.8663;0.8;6
thorns3;-1.08685;1.05073;8.84989;0.8;6
thorns3;-1.25163;1.17535;8.80312;0.8;6
thorns3;-1.43039;1.32403;8.80981;0.8;6
thorns3;-0.751746;0.83975;7.20494;0.8;6
thorns3;-0.969247;0.920646;7.16673;0.8;6
thorns3;-1.07164;1.04862;7.14586;0.8;6
thorns3;0.208083;0.282012;7.07388;0.8;6
thorns3;0.084089;0.347916;6.99086;0.8;6
thorns3;-0.0246479;0.430506;6.9536;0.8;6
thorns3;-0.426947;0.732597;6.0426;0.8;6
thorns3;-0.584531;0.788137;5.95552;0.8;6
leaves3;-1.13377;0.788415;7.56839;0.8;15
leaves3;-1.14999;0.901245;7.49012;0.8;15
leaves3;-1.32991;0.965117;7.56856;0.8;15
leaves3;-1.26237;0.843328;7.59931;0.8;15
leaves3;-1.46686;0.752634;7.73671;0.8;15
leaves3;-1.53728;0.92077;7.66476;0.8;15
leaves3;-1.55076;1.01746;7.61968;0.8;15
leaves3;-1.71909;1.06172;7.62505;0.8;15
leaves3;-1.63375;0.862722;7.71664;0.8;15
leaves3;-1.64291;0.770653;7.76603;0.8;15
leaves3;-1.80784;0.840079;7.7602;0.8;15
leaves3;-1.8513;0.908513;7.73375;0.8;15
leaves3;-1.86631;1.04571;7.65939;0.8;15
leaves3;-1.97339;1.0057;7.69396;0.8;15
leaves3;-0.242426;-0.51399;8.12049;0.8;15
leaves3;-0.0977083;-0.44494;8.12419;0.8;15
leaves3;0.0516484;-0.397795;8.12766;0.8;15
leaves3;0.238321;-0.283658;8.15428;0.8;15
leaves3;0.375511;0.0334291;8.15219;0.8;15
leaves3;0.137105;-0.0422698;8.11588;0.8;15
leaves3;-0.123041;-0.15828;8.10025;0.8;15
leaves3;-0.383901;-0.231224;8.05188;0.8;15
leaves3;-0.380284;-0.0878105;8.04021;0.8;15
leaves3;-0.154578;0.106965;8.07643;0.8;15
leaves3;0.0309321;0.21933;8.00466;0.8;15
leaves3;-0.204705;0.307857;7.8727;0.8;15
leaves3;-0.305399;0.216671;7.95042;0.8;15
thorns3;-0.649845;0.429382;6.4099;0.8;6
thorns3;-0.706686;0.303154;6.35128;0.8;6
stems2;-2.19328;1.64959;15.3326;0.8;10
stems2;-2.37217;1.56441;15.3276;0.8;10
stems2;-2.17405;1.63617;15.1269;0.8;10
stems2;-2.36991;1.52393;15.0954;0.8;10
stems2;-2.19832;1.6424;15.048;0.8;10
stems2;-2.3279;1.55394;14.9926;0.8;10
stems2;-2.16125;1.61586;14.8187;0.8;10
stems2;-2.27317;1.53314;14.7899;0.8;10
stems2;-2.15324;1.54207;14.6646;0.8;10
stems2;-2.26393;1.49078;14.6387;0.8;10
stems2;-2.09882;1.54509;14.3757;0.8;10
stems2;-2.35381;1.55512;14.1784;0.8;10
stems2;-2.13259;1.51712;13.9673;0.8;10
stems2;-2.2286;1.4044;13.9011;0.8;10
stems2;-2.0731;1.43357;13.74;0.8;10
stems2;-2.17672;1.37282;13.6403;0.8;10
stems2;-1.99588;1.3803;13.4543;0.8;10
stems2;-2.21321;1.29806;13.4145;0.8;10
stems2;-1.98415;1.38567;13.3026;0.8;10
stems2;-2.15504;1.32163;13.1967;0.8;10
stems2;-2.11176;1.26855;12.8656;0.8;10
stems2;-1.81635;1.381;12.8084;0.8;10
stems2;-1.93997;1.35909;12.6382;0.8;10
stems2;-2.05606;1.24189;12.5811;0.8;10
stems2;-2.01117;1.30342;12.364;0.8;10
stems2;-1.80948;1.34646;12.4213;0.8;10
stems2;-1.81638;1.2927;11.9043;0.8;10
stems2;-1.98119;1.09264;11.9329;0.8;10
stems2;-1.88637;1.15605;11.6549;0.8;10
