Sample name;x;y;z;r;rNumbers
stem7;-3.49175;1.00557;13.4411;0.1;22
stem7;-3.46612;1.0025;13.405;0.1;22
stem8;-3.06067;0.953289;12.8906;0.1;19
stem8;-3.02866;0.966869;12.8397;0.1;19
stem8;-2.99948;0.979809;12.7824;0.1;19
stem8;-2.93454;0.981714;12.7183;0.1;19
stem8;-2.89263;0.994585;12.6802;0.1;19
stem9;-2.47789;0.974965;12.1693;0.1;16
stem9;-2.43846;0.965701;12.1105;0.1;16
stem9;-2.39604;0.962961;12.0604;0.1;16
stem9;-2.36435;0.957835;12.029;0.1;16
stem9;-2.32609;0.956705;11.9899;0.1;16
stem9;-2.27812;0.947927;11.9357;0.1;16
stem10;-2.03907;0.906216;11.547;0.1;32
stem10;-2.0182;0.898011;11.4973;0.1;32
stem10;-1.97837;0.877421;11.4405;0.1;32
stem11;-1.58573;0.852195;10.9298;0.1;26
stem11;-1.55878;0.860702;10.8901;0.1;26
stem11;-1.52104;0.865481;10.8249;0.1;26
stem11;-1.47613;0.85137;10.7844;0.1;26
stem11;-1.42566;0.863234;10.7334;0.1;26
stem12;-0.977213;0.842464;10.173;0.1;1
stem12;-0.942368;0.839431;10.1299;0.1;1
stem12;-0.89262;0.831831;10.0705;0.1;1
stem12;-0.8199;0.825313;9.9976;0.1;1
stem12;-0.770375;0.81766;9.93817;0.1;1
stem12;-0.744769;0.834179;9.91466;0.1;1
stem12;-0.716199;0.81811;9.87464;0.1;1
leaves5;-6.30874;1.22729;16.7522;0.5;28
leaves5;-4.92804;1.15791;15.6228;0.5;28
leaves5;-4.96404;1.19709;15.6488;0.5;28
leaves5;-4.97826;1.27554;15.7131;0.5;28
leaves5;-4.86291;1.20749;15.6497;0.5;28
leaves5;-4.91038;1.27576;15.6734;0.5;28
leaves5;-4.94742;1.35613;15.7064;0.5;28
leaves5;-4.81107;1.2781;15.667;0.5;28
leaves5;-4.85081;1.34986;15.6903;0.5;28
leaves5;-4.9075;1.41243;15.7108;0.5;28
leaves5;-4.79393;1.35799;15.6824;0.5;28
leaves5;-4.82297;1.4191;15.6984;0.5;28
leaves5;-4.87157;1.4808;15.7105;0.5;28
leaves5;-4.87054;1.60235;15.7205;0.5;28
leaves5;-4.82297;1.52809;15.7102;0.5;28
leaves5;-4.7467;1.46684;15.6923;0.5;28
leaves5;-4.7108;1.52663;15.6877;0.5;28
leaves5;-4.7432;1.55986;15.6951;0.5;28
leaves5;-4.77492;1.63531;15.698;0.5;28
leaves5;-4.80183;1.67344;15.7068;0.5;28
leaves5;-4.69937;1.6366;15.6863;0.5;28
leaves5;-4.72996;1.70841;15.6866;0.5;28
leaves5;-4.68293;1.73244;15.6723;0.5;28
leaves5;-4.64947;1.76566;15.6611;0.5;28
leaves5;-5.06145;0.995072;15.5702;0.5;28
leaves5;-5.12526;1.02018;15.6003;0.5;28
leaves5;-5.06452;0.918198;15.5512;0.5;28
leaves5;-5.14147;0.965529;15.5818;0.5;28
leaves5;-5.09122;0.837172;15.5399;0.5;28
leaves5;-5.14856;0.891161;15.5673;0.5;28
leaves5;-5.20044;0.940561;15.5895;0.5;28
leaves5;-5.1264;0.779799;15.5331;0.5;28
leaves5;-5.19213;0.841912;15.556;0.5;28
leaves5;-5.26492;0.911457;15.5893;0.5;28
leaves5;-5.18323;0.744798;15.5293;0.5;28
leaves5;-5.26515;0.80646;15.5493;0.5;28
leaves5;-5.35195;0.875255;15.5852;0.5;28
leaves5;-5.24506;0.684542;15.5106;0.5;28
leaves5;-5.3434;0.734347;15.5253;0.5;28
leaves5;-5.42535;0.813921;15.5676;0.5;28
leaves5;-5.31572;0.641902;15.4829;0.5;28
leaves5;-5.40418;0.696523;15.5099;0.5;28
leaves5;-5.47558;0.743475;15.5288;0.5;28
leaves5;-5.34308;0.604082;15.4565;0.5;28
leaves5;-5.44196;0.66134;15.4915;0.5;28
leaves5;-5.53076;0.710227;15.519;0.5;28
leaves5;-5.42545;0.587002;15.4322;0.5;28
leaves5;-5.4959;0.621723;15.4798;0.5;28
leaves5;-5.55883;0.656077;15.5101;0.5;28
leaves5;-5.49946;0.551358;15.4032;0.5;28
leaves5;-5.56193;0.585866;15.48;0.5;28
leaves5;-5.59014;0.513491;15.3802;0.5;28
leaves5;-5.34376;0.633431;15.4767;0.5;28
leaves6;-4.56699;1.16537;15.0151;0.5;14
leaves6;-4.65445;1.17285;15.0198;0.5;14
leaves6;-4.54173;1.25302;15.0459;0.5;14
leaves6;-4.63904;1.25512;15.0463;0.5;14
leaves6;-4.69306;1.25624;15.0588;0.5;14
leaves6;-4.49591;1.32599;15.0554;0.5;14
leaves6;-4.6176;1.34137;15.0689;0.5;14
leaves6;-4.72233;1.35018;15.0823;0.5;14
leaves6;-4.4915;1.43476;15.0748;0.5;14
leaves6;-4.61769;1.44166;15.0831;0.5;14
leaves6;-4.74649;1.45114;15.1018;0.5;14
leaves6;-4.47397;1.50989;15.0828;0.5;14
leaves6;-4.65966;1.56564;15.0961;0.5;14
leaves6;-4.79267;1.57699;15.0994;0.5;14
leaves6;-4.52042;1.64226;15.0785;0.5;14
leaves6;-4.66604;1.66318;15.0877;0.5;14
