CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
3470	4010	-42.0113	0	0.842144	0.531124	7
4934	5134	-42.0113	0	0.869079	0.433573	7
4020	4190	-13.0251	0	0.763752	0.472585	7
3802	4046	-17.0261	0	0.842101	0.503878	7
2671	2850	-14.0123	0	0.883223	0.459477	7
552	612	-14.0166	0	0.784184	0.587087	7
3451	3492	-2.01593	0	0.800651	0.567201	7
3470	4190	-55.9908	0	0.73289	0.479922	7
2671	3819	-91.0085	0	0.857442	0.448151	7
2482	3819	-105.027	0	0.784554	0.515384	7
2499	2708	-15.9942	0	0.886996	0.482892	7
3277	3492	-16.0309	0	0.855636	0.467046	7
4928	5013	-17.0275	0	0.870775	0.553119	7
3802	4020	-16.0024	0	0.800824	0.498288	7
5068	5134	-14.0162	0	0.837898	0.437248	7
2482	2708	-18.0105	0	0.711202	0.592159	7
4046	4246	-15.9952	0	0.818312	0.424045	7
4010	4190	-13.9796	0	0.745981	0.494351	7
2850	3819	-76.9962	0	0.829853	0.543604	7
4010	4503	-42.0099	0	0.797863	0.496319	7
3819	4484	-54.0402	0	0.754458	0.450837	7
2755	3712	-74.0002	0	0.841745	0.512437	9
4494	4608	-14.0164	0	0.857587	0.571455	9
4176	4177	-0.000488281	0	0.89684	0.574344	9
3718	3994	-21.983	0	0.856989	0.62449	9
2755	3302	-42.0113	0	0.890994	0.617281	9
3718	3996	-21.9841	0	0.856833	0.623512	9
3679	3780	-9.02313	0	0.849407	0.555199	9
3837	4088	-19.9892	0	0.837038	0.552577	9
4608	4661	-5.95306	0	0.861143	0.567039	9
3996	4470	-40.0302	0	0.844585	0.547206	9
2582	2785	-15.9943	0	0.823236	0.572656	9
4493	4608	-14.0507	0	0.825868	0.592286	9
4661	4878	-36.059	0	0.828626	0.529181	9
3247	3851	-47.9657	0	0.850099	0.574692	9
2756	3720	-74.1424	0	0.822169	0.562861	9
4878	4905	-5.95245	0	0.833585	0.491479	9
2787	3003	-15.9941	0	0.865954	0.596292	9
2787	3718	-72.0928	0	0.864623	0.577937	9
4317	4384	-5.95593	0	0.842472	0.557534	9
4716	4796	-14.0184	0	0.886084	0.596515	9
2787	3712	-72.0222	0	0.854079	0.598154	9
3302	3583	-21.9839	0	0.901547	0.649125	9
2756	3603	-66.0436	0	0.845521	0.59413	9
3780	4410	-50.0154	0	0.884979	0.651944	9
4384	4532	-14.0139	0	0.896104	0.580391	9
3302	4470	-94.0737	0	0.851783	0.536414	9
4796	4878	-14.0163	0	0.875681	0.600415	9
3679	4434	-61.0552	0	0.849749	0.51283	9
4494	4796	-42.0122	0	0.850498	0.571132	9
3003	3861	-68.099	0	0.862758	0.572385	9
3603	4176	-44.0252	0	0.844316	0.634248	9
3603	4177	-44.0257	0	0.840527	0.593189	9
2756	3302	-42.0107	0	0.86645	0.612096	9
2638	3079	-33.9854	0	0.896446	0.556894	9
2755	3300	-42.0098	0	0.83812	0.570985	9
3583	4434	-68.0606	0	0.903059	0.587418	9
3851	4410	-44.0615	0	0.879515	0.545809	9
4540	4796	-36.0948	0	0.837168	0.590057	9
3247	4434	-94.0439	0	0.836239	0.522368	9
2756	3961	-94.0745	0	0.828192	0.58303	9
4147	4317	-14.0148	0	0.826081	0.56193	9
3603	3679	-4.95648	0	0.851184	0.600116	9
3510	3718	-16.0649	0	0.84913	0.597288	9
2756	3300	-42.0092	0	0.835137	0.616161	9
3778	4532	-62.0163	0	0.855821	0.502714	9
2784	2818	-2.01556	0	0.828289	0.560637	9
4233	4532	-28.032	0	0.86487	0.474732	9
3583	3780	-16.0285	0	0.892483	0.640271	9
3510	3712	-15.9943	0	0.866954	0.609002	9
3510	3713	-15.9948	0	0.873137	0.644334	9
3003	3079	-5.9903	0	0.887118	0.522402	9
4029	4434	-33.9863	0	0.905874	0.528275	9
3861	4088	-17.9733	0	0.829387	0.57861	9
3850	4233	-28.0308	0	0.86906	0.528842	9
4317	4532	-19.9698	0	0.837944	0.508696	9
3857	4733	-82.0417	0	0.84372	0.517764	9
3780	4258	-36.1295	0	0.852924	0.626242	9
2559	2784	-17.0247	0	0.822977	0.524082	9
3679	3851	-14.9771	0	0.854108	0.617142	9
4540	4942	-62.0158	0	0.85465	0.600293	9
3003	3994	-78.0817	0	0.85005	0.598446	9
3712	3713	-0.000427246	0	0.849345	0.585334	9
4494	4661	-19.9695	0	0.854767	0.589601	9
4493	4832	-47.9972	0	0.843519	0.499066	9
4661	4905	-42.0115	0	0.830657	0.566883	9
2785	2818	-2.01508	0	0.860026	0.589967	9
2755	3961	-94.0751	0	0.859654	0.550887	9
3780	4434	-52.0321	0	0.900741	0.593397	9
3837	4029	-14.0144	0	0.903902	0.628006	9
2787	3302	-40.0333	0	0.864641	0.542125	9
3850	4532	-56.0628	0	0.896024	0.592854	9
4176	4410	-19.9698	0	0.907406	0.638566	9
3679	3995	-25.0538	0	0.856857	0.591205	9
4540	4716	-22.0764	0	0.832879	0.575887	9
3583	3712	-10.0049	0	0.876221	0.538035	9
3583	3713	-10.0054	0	0.872585	0.576054	9
3718	4258	-42.0825	0	0.869581	0.575103	9
2638	4258	-126.176	0	0.852738	0.567565	9
3003	3718	-56.0987	0	0.880477	0.610911	9
4493	4540	-5.95166	0	0.879913	0.576864	9
3300	3582	-21.9843	0	0.877839	0.640504	9
3079	3718	-50.1084	0	0.890419	0.536554	9
3837	4434	-48.0007	0	0.903916	0.511716	9
4832	4942	-19.9703	0	0.839953	0.547261	9
4796	4832	-5.95074	0	0.863906	0.534216	9
3582	3778	-16.0292	0	0.882444	0.599322	9
3679	4258	-45.1526	0	0.858032	0.575678	9
4716	4832	-19.9692	0	0.823641	0.533706	9
4493	4494	-0.0342407	0	0.833015	0.525073	9
3247	3720	-36.131	0	0.840591	0.567134	9
4147	4233	-5.9527	0	0.840707	0.62473	9
3247	3780	-42.0118	0	0.876816	0.590302	9
2638	3718	-84.0938	0	0.874522	0.586273	9
4532	4572	-5.95233	0	0.861324	0.562487	9
3808	3837	-2.01709	0	0.866109	0.553463	9
3995	4029	-2.01514	0	0.903443	0.619975	9
4540	4661	-14.0521	0	0.831893	0.548851	9
3994	4470	-40.0312	0	0.844466	0.546366	9
3095	3302	-17.0272	0	0.852347	0.461089	9
2638	3995	-106.078	0	0.867266	0.596203	9
3808	4410	-48.001	0	0.873913	0.474604	9
4177	4410	-19.9693	0	0.89865	0.588726	9
3995	4258	-20.0988	0	0.85251	0.622986	9
3302	3713	-31.9893	0	0.868932	0.577783	9
3302	3712	-31.9889	0	0.862478	0.534383	9
4493	4796	-42.0464	0	0.883795	0.589742	9
2755	3247	-38.012	0	0.838371	0.585098	9
2787	3079	-21.9844	0	0.879595	0.478617	9
3718	3861	-12.0003	0	0.865665	0.571938	9
3603	3961	-28.0309	0	0.889863	0.579751	9
3994	3996	-0.00109863	0	1.0	0.999997	9
3003	3837	-66.0831	0	0.860651	0.627245	9
3778	4317	-42.0464	0	0.837259	0.59731	9
4661	4832	-27.9935	0	0.826562	0.585869	9
4905	4942	-5.95227	0	0.847086	0.514857	9
3079	3851	-62.0153	0	0.879136	0.489947	9
3780	3851	-5.95392	0	0.893032	0.544685	9
2756	3510	-58.0053	0	0.850381	0.597389	9
2638	3003	-27.9951	0	0.88094	0.592647	9
4471	4532	-5.95361	0	0.822608	0.490423	9
2787	3510	-56.0279	0	0.865115	0.613543	9
4716	4905	-33.9872	0	0.849937	0.5295	9
3780	3996	-16.0311	0	0.846739	0.590227	9
2638	3780	-90.0468	0	0.846435	0.570751	9
3079	3994	-72.0914	0	0.880424	0.541679	9
3079	3996	-72.0925	0	0.88053	0.542078	9
3679	4176	-39.0687	0	0.853402	0.585441	9
2834	3851	-81.0225	0	0.826721	0.591781	9
3510	3583	-5.98938	0	0.890883	0.572602	9
4147	4532	-33.9847	0	0.849739	0.466163	9
4384	4572	-19.9662	0	0.847773	0.61011	9
4493	4716	-28.028	0	0.88295	0.562782	9
3851	4434	-46.0782	0	0.893911	0.487067	9
2755	3603	-66.0441	0	0.87665	0.623971	9
3995	4176	-14.0149	0	0.910453	0.652111	9
3995	4177	-14.0154	0	0.900291	0.607787	9
3808	3995	-14.0164	0	0.874988	0.497052	9
3003	4258	-98.1812	0	0.864289	0.544632	9
2787	3994	-94.0758	0	0.857741	0.564709	9
2787	3996	-94.0769	0	0.857731	0.565109	9
2784	3713	-72.0242	0	0.826196	0.586351	9
3778	4384	-48.0024	0	0.828761	0.525956	9
3095	3712	-49.0161	0	0.828665	0.546076	9
3778	4147	-28.0316	0	0.845968	0.592081	9
3582	3850	-21.9827	0	0.884376	0.631219	9
2787	3583	-62.0173	0	0.863803	0.529626	9
4532	4661	-15.9944	0	0.827032	0.529099	9
3808	4177	-28.0317	0	0.862854	0.512014	9
3808	4176	-28.0312	0	0.868609	0.490217	9
3164	3603	-35.0379	0	0.833307	0.534216	9
3961	4470	-42.0099	0	0.86248	0.606433	9
4540	4905	-56.0635	0	0.863861	0.51962	9
3996	4410	-33.9843	0	0.858097	0.596334	9
2784	2785	-0.000488281	0	0.837694	0.571635	9
3603	3720	-8.09882	0	0.828786	0.542498	9
3302	3510	-15.9946	0	0.875261	0.584992	9
3582	4532	-78.0455	0	0.824095	0.536693	9
3583	3851	-21.9824	0	0.880856	0.563261	9
2638	3861	-96.0941	0	0.853888	0.525888	9
4493	4661	-20.0037	0	0.826572	0.500763	9
3850	4384	-42.0489	0	0.895307	0.635177	9
3172	3247	-5.95038	0	0.843488	0.608924	9
4493	4878	-56.0627	0	0.873048	0.583871	9
4410	4434	-2.01672	0	0.906024	0.599189	9
3003	3510	-40.0338	0	0.85615	0.60537	9
3247	4258	-78.1413	0	0.851294	0.59198	9
3079	3780	-56.0614	0	0.882865	0.598494	9
3079	4434	-108.094	0	0.88474	0.637907	9
4494	4832	-47.963	0	0.838875	0.586558	9
3850	4572	-62.0151	0	0.846799	0.624182	9
3247	3679	-32.9886	0	0.862856	0.621564	9
2755	2756	-0.000549316	0	0.884135	0.56428	9
4796	4905	-19.9688	0	0.846402	0.498187	9
3679	4410	-59.0385	0	0.878882	0.580253	9
3582	4384	-64.0316	0	0.833085	0.583962	9
2755	3510	-58.0059	0	0.851969	0.549762	9
4832	4905	-14.018	0	0.868866	0.585637	9
4540	4832	-42.0455	0	0.875431	0.560486	9
3583	4410	-66.0439	0	0.885287	0.636086	9
4716	4878	-28.0347	0	0.861649	0.587077	9
3961	3996	-1.9798	0	0.842535	0.593305	9
3961	3994	-1.9787	0	0.842899	0.594928	9
3603	3995	-30.0103	0	0.85171	0.636294	9
3713	4470	-62.0844	0	0.823402	0.603339	9
4493	4905	-62.0152	0	0.846668	0.483214	9
3712	3720	-0.142761	0	0.825445	0.611745	9
3079	3583	-40.0329	0	0.890339	0.593816	9
3720	4258	-42.0103	0	0.850124	0.527063	9
4608	4878	-42.0121	0	0.826261	0.605181	9
4233	4384	-14.0181	0	0.867876	0.517855	9
1586	2281	-40.0321	0	0.830875	0.575315	9
2784	3834	-82.0451	0	0.832442	0.611059	9
4470	4733	-31.9694	0	0.843786	0.509455	9
2638	4029	-108.093	0	0.865158	0.587848	9
3995	4410	-33.9847	0	0.91251	0.633377	9
2638	4434	-142.079	0	0.844175	0.506531	9
2281	2755	-35.0374	0	0.842467	0.513849	9
2638	2787	-12.001	0	0.862482	0.536095	9
3778	3850	-5.95349	0	0.873648	0.569392	9
591	593	-0.000488281	0	0.767219	0.533025	11
591	592	-0.00012207	0	0.814252	0.540657	11
591	595	-0.000793457	0	0.814809	0.541874	11
591	594	-0.000732422	0	0.786878	0.507093	11
591	596	-0.000823975	0	0.800797	0.555997	11
592	593	-0.000366211	0	0.809882	0.499799	11
592	596	-0.000701904	0	0.847067	0.592091	11
593	596	-0.000335693	0	0.789159	0.506997	11
593	595	-0.000305176	0	0.810905	0.501185	11
592	595	-0.000671387	0	0.999999	1.0	11
594	595	-6.10352e-05	0	0.85585	0.605537	11
594	596	-9.15527e-05	0	0.838176	0.57892	11
590	591	0	0	0.811873	0.482848	11
590	592	-0.00012207	0	0.871648	0.567974	11
590	593	-0.000488281	0	0.800032	0.442203	11
590	594	-0.000732422	0	0.856402	0.577802	11
590	595	-0.000793457	0	0.87204	0.569052	11
590	596	-0.000823975	0	0.853801	0.546732	11
595	596	-3.05176e-05	0	0.845568	0.588102	11
589	596	-0.000915527	0	0.816662	0.568779	11
589	594	-0.000823975	0	0.81171	0.533147	11
589	595	-0.00088501	0	0.838099	0.567719	11
589	592	-0.000213623	0	0.838099	0.567719	11
589	593	-0.000579834	0	0.78086	0.533962	11
589	590	-9.15527e-05	0	0.831339	0.501398	11
589	591	-9.15527e-05	0	0.786477	0.575198	11
592	594	-0.000610352	0	0.857424	0.607512	11
593	594	-0.000244141	0	0.790313	0.48155	11
1769	2030	-14.0186	0	0.802668	0.493738	12
345	3798	-256.241	0	0.730588	0.414501	13
247	341	-18.0104	0	0.758185	0.433659	16
451	717	-28.0322	0	0.820805	0.574786	17
451	715	-28.0305	0	0.816183	0.448593	17
424	451	-3.01114	0	0.78167	0.532656	17
556	1092	-42.046	0	0.777393	0.445992	17
424	452	-3.01141	0	0.787614	0.584893	17
452	1091	-56.0619	0	0.83507	0.449807	17
327	331	-0.984528	0	0.781929	0.531149	17
327	424	-14.9996	0	0.823361	0.571928	17
272	278	-0.984375	0	0.787601	0.616777	17
327	449	-17.0273	0	0.754818	0.548891	17
