839_23	CC1=C2C=C3CCC4C(C)(C)C(CC(C4(C)C3CC2OC1=O)O)O
839_24	C=C1CCC2C(C)(CCCC2(C)C(=O)O)C1CCC3=CCOC3=O
839_25	CC1=C2C=C3C(CC4C(C)(C)CCCC4(C)C3(CC2OC1=O)O)O
839_26	C=C1C2CC3C4(C)CCC(C(C)(CO)C4CCC3(CC2O)C1=O)=O
839_27	C=C1C2CC3C4(C)CCC(C(C)(C)C4CCC3(C1O)C(C2O)=O)=O
839_28	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3(CC2OC1=O)O)O
839_29	C=C1CC23CCC4C(C)(CCC(C4(C)CO)=O)C3CC1C(C2=O)O
839_30	CC1(C)C2CCC34C=C(C=O)C(CC3C2(C)CCC1=O)C(C4O)O
839_31	C=C(C)C1CCC23CC(CCC2C1(C)CCC(=O)O)C(=C)C3=O
839_32	CC1(C)C2CCC34CC5C(CC3C2(C)CCC1=O)C5(C4)C(=O)O
839_33	C=C1C2CC3C4(C)CCC(C(C)(C)C4CCC3(CC2O)C1=O)=O
839_34	C=CC1(C)CC2=CCC3C(C)(C)C(C(CC3(C)C2CC1=O)=O)O
839_35	C=C1CC23CCC4C(C)(C)C(C(CC4(C)C3CC1CC2=O)=O)O
839_36	C=C1CC23CCC4C(C)(C)C(CCC4(C)C3C(C1CC2=O)O)=O
839_37	C=Cc1c(C)c(cc2c1CCC1C(C)(C)C(=O)CCC21C)O
839_38	CC(C)C1C=CC(=CCC=C(C)CC2C=C(CC1)C(=O)O2)C
839_39	C=CC1(C)C(=O)C=C2C(=CCC3C(C)(C)C(CCC23C)O)C1O
839_40	Cc1cc(ccc1O)C(=O)C(C)CC1C(CCC(=O)C)C1(C)C
839_41	CC1=CCC(C(=CC(=O)C(=O)C(=CC2C(CC1)C2(C)C)C)C)O
839_42	CC(CO)C1=CC(=O)C2=C(CCC3C(C)(C)CCCC23C)C1=O
839_43	CC1=CC2(C=C1)CCC1C(C)(C)C(=O)CCC1(C)C2CC(=O)O
839_44	C=CC1(C)CCC2C(=CCC3C(C)(C)C(=O)C(=CC23C)O)C1O
839_45	C=C(CCC1C2C1(C)C)C(C2C(O)(C)C3O)C4=C3CC(C)C4=O
839_46	CC1=CC2C(=O)C(=CC2(C(=O)C(C)CC2C(CC1)C2(C)C)O)C
839_47	CC1=CC2C(=O)C(C)CC2(C(=O)C(=CC2C(CC1)C2(C)C)C)O
839_48	C=CC1(C)CC2=CCC3C(C)(C)C(C(=O)CC3(C)C2CC1=O)O
839_49	C=C(C)C1CCC(=C)C(Cc2c(C)cco2)C1(C)CCC(=O)O
839_50	CC1CCC2=C(CCCC2(C)C(=O)O)C1(C)CCc1ccoc1
839_51	CC1CC2C(CCC(C)(C=CC3C(=C(C1=O)C(=N3)O)C)O)C2(C)C
839_52	C=C1C2CCC(=O)C3(C)C(CC(C(=C2)C1=O)O)C(C)(C)CCC3O
839_53	O=C1C(C)=C2C=C3CCC4C(C)(C)C(O)CC(O)C4(C)C3CC2O1
839_54	CC12C(CC(O)C(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)CC1
839_55	CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)C(O)C1
839_56	CC1CCC(C)(C)C2CCC(C)(C=C3C(=O)C(=CC3(C1=O)O)C)O2
839_57	CC1CCC2(C)C(CCC(C2(C)O)O)C21C=C(c1ccoc1)OC2
839_58	C=C1CCC2C(C)(CCCC2(C)C(=O)O)C1CCC1=CCOC1=O
839_59	CC1CC2C(CCC3(C)C(C4C(=O)C(=CC4(C1=O)O)C)O3)C2(C)C
839_60	CC1(C)C(CCC2(C)C1CCC34C2CC(C(C=O)=C4)C(O)C3O)=O
839_61	C=C1CC23CCC4C(C)(CCC(=O)C4(C)CO)C2CC1C(C3=O)O
839_62	C=C1C2CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C1O)C(=O)C2O
