shared.name	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
3856	220	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Carbonyl group;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	0.611	0.611	0.611	0.444	0.043;0.048;0.048;0.037;0.048;0.037;0.048;0.048;0.048;0.04
3555	220	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Alcohol;Carbonyl group;Carboxylic acid ester;Cyclic alcohol;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	0.611	0.611	0.611	0.444	0.043;0.048;0.048;0.037;0.048;0.037;0.048;0.048;0.048;0.04
4385	223	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none	Cycloheptafurans	Alcohol;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	0.6	0.6	0.4	0.4	0.049;0.049;0.039;0.049;0.039;0.049;0.049;0.049;0.039;0.049
3796	223	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none	Cycloheptafurans	Alcohol;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	0.6	0.6	0.4	0.4	0.049;0.049;0.039;0.049;0.039;0.049;0.049;0.049;0.039;0.049
747	223	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none	Cycloheptafurans	Alcohol;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	0.6	0.6	0.4	0.4	0.049;0.049;0.039;0.049;0.039;0.049;0.049;0.049;0.039;0.049
467	223	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none	Cycloheptafurans	Alcohol;Carbonyl group;Carboxylic acid ester;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	0.6	0.6	0.4	0.4	0.049;0.049;0.039;0.049;0.039;0.049;0.049;0.049;0.039;0.049
409	233	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none;Terpene lactones	Diterpene lactones;Diterpenoids;Naphthofurans	Alpha,beta-unsaturated carboxylic ester;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Enoate ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	0.667	0.667	0.333	0.333	0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.031
827	233	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none;Terpene lactones	Diterpene lactones;Diterpenoids;Naphthofurans	Alpha,beta-unsaturated carboxylic ester;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Enoate ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	0.667	0.667	0.333	0.333	0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.031
311	233	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids;none;Terpene lactones	Diterpene lactones;Diterpenoids;Naphthofurans	Alpha,beta-unsaturated carboxylic ester;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Enoate ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	0.667	0.667	0.333	0.333	0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.046;0.031
3452	242	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	1	1	0.6	0.047;0.059;0.059;0.059;0.059;0.059;0.047;0.059;0.059;0.059
1453	242	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Jatrophane and cyclojatrophane diterpenoids	Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	1	1	0.6	0.047;0.059;0.059;0.059;0.059;0.059;0.047;0.059;0.059;0.059
1180	251	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	3-hydroxysteroid;Alcohol;Aliphatic homopolycyclic compound;Cyclic alcohol;Hydrocarbon derivative;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Steroid;Triterpenoid	1	1	0.615	0.462	0.462	0.044;0.088;0.081;0.081;0.096;0.096;0.096;0.088;0.044;0.059
1347	251	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	3-hydroxysteroid;Alcohol;Aliphatic homopolycyclic compound;Cyclic alcohol;Hydrocarbon derivative;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Steroid;Triterpenoid	1	1	0.615	0.462	0.462	0.044;0.088;0.081;0.081;0.096;0.096;0.096;0.088;0.044;0.059
1334	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1183	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1583	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1335	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
569	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1047	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1348	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
399	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1632	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
1633	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
676	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
519	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
348	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
2324	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
478	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
779	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
425	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
2087	261	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Aliphatic acyclic compound;Hydrocarbon derivative;Ketone;Organic oxide	1	1	1	1	1	0.25;0.25;0.25;0.25
940	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
2308	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
1877	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
1020	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
