shared.name	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
173	298	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Diterpene lactones	Enoate ester;Hydrocarbon derivative;Ketone;Lactone;Monocarboxylic acid or derivatives;Naphthofuran;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle	1	0.667	0.667	0.667	0.667	0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043
175	298	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Diterpene lactones	Enoate ester;Hydrocarbon derivative;Ketone;Lactone;Monocarboxylic acid or derivatives;Naphthofuran;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle	1	0.667	0.667	0.667	0.667	0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043;0.043
4539	305	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Rhamnofolane and daphnane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.6	0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036
3820	305	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Rhamnofolane and daphnane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.6	0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036;0.036
4517	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
4242	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
4751	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
4662	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
4835	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
4414	308	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Phorbol esters;Tigliane and ingenane diterpenoids;Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Ketone;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.667	0.333	0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06
